country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Denmark,1,7.693,7.519909382,10.69957066,0.951437175,70.04481506,0.932627916,0.127539426,0.187407613,0.773763597,0.208569512,0.534252763,1.294512391,2.01157999,1.702373385,0.226382166,0.278,0.267090909,0.365274489
Norway,2,7.655,7.678277016,11.05094433,0.947657406,70.52483368,0.946565867,0.120922364,0.368042678,0.822749853,0.212821111,0.663340509,1.527816534,1.917715073,1.746017814,0.227397084,0.257,0.271727273,0.318803996
Switzerland,3,7.65,7.776208878,10.93577576,0.94686389,72.73400116,0.945428014,0.12572737,0.323240787,0.859107256,0.176007092,0.769940198,1.529229045,1.879036784,1.564780593,0.201226667,0.316,0.327571429,0.308629304
Netherlands,4,7.512,7.470715523,10.72351742,0.938884676,71.0919342,0.877118647,0.276099622,0.433753789,0.860640585,0.226289868,0.574513912,1.396525025,1.886309624,1.351189137,0.180864751,0.276,0.286909091,0.35245353
Sweden,5,7.48,7.560147762,10.67609787,0.929397464,71.74086761,0.944382191,0.119244285,0.253543109,0.855099976,0.170226127,0.626497209,1.430477619,2.032324076,1.587887406,0.210033909,0.271,0.267454546,0.319790423
Canada,6,7.477,7.415144444,10.64052105,0.948128343,71.63430023,0.917961121,0.276096433,0.465601832,0.856703699,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906605,,0.3368,0.884413838
Finland,7,7.389,7.420209408,10.59445572,0.927739382,70.67289734,0.920968115,-0.012045811,0.360733956,0.796285093,0.201654434,0.597941577,1.50073123,2.059122801,1.630132437,0.219688192,0.271,0.275909091,0.379710972
Austria,8,7.369,7.400688648,10.70505238,0.945142388,70.94441223,0.919703901,0.109221973,0.770585775,0.822247744,0.156674996,0.376573861,1.39467001,1.586992741,1.722668648,0.232771397,0.311,0.303818182,0.323470146
Iceland,9,7.355,7.590660095,10.58997154,0.978965282,72.80523682,0.904654503,0.233745292,0.758585632,0.899718463,0.157153815,0.257335573,1.34399116,1.545394659,1.569349289,0.206747413,0.268,0.280090909,0.40288952
Australia,10,7.35,7.195585728,10.65869617,0.944599032,72.16123962,0.935146272,0.258976281,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,,0.34275,0.406056434
Israel,11,7.301,7.110854626,10.32817173,0.903415501,71.74086761,0.681439221,0.145161554,0.862327278,0.665101826,0.319231451,0.343569756,-0.217279762,1.074690342,1.740085363,0.244708329,0.414,0.411,0.28481248
Costa Rica,12,7.257,7.272250175,9.538064003,0.902206898,69.04761505,0.92891407,0.045661923,0.794301391,0.896885216,0.263027132,0.280074805,0.863311112,0.5524562,2.141749144,0.294509828,0.486,0.4913125,0.506199896
New Zealand,13,7.221,7.249629974,10.41291523,0.930028617,71.25901031,0.901853085,0.277378291,0.289297938,0.866304159,0.20687817,0.61469996,1.489543796,1.965111136,1.722624302,0.237615481,,,0.385313541
United Arab Emirates,14,7.144,7.217766762,10.99897861,0.855876803,67.89845276,0.919792593,,,0.767661452,0.223985344,,-0.068783879,0.882221997,1.698895574,0.235376895,,,0.416293889
Panama,15,7.143,6.859835625,9.808291435,0.897391141,67.20800781,0.783182502,0.005216825,0.795796633,0.868587494,0.206641346,0.361556232,0.144992128,0.028142724,2.303227901,0.335755557,0.519,0.53675,0.394367218
Mexico,16,7.088,7.320185184,9.700418472,0.767279446,67.31171417,0.787768304,-0.099098481,0.633281112,0.784479201,0.278110534,0.3614088,-0.274854422,-0.031542644,2.074157,0.283347607,0.481,0.48475,0.426429868
United States,17,7.082,7.026226997,10.83011532,0.903192282,69.7709198,0.822662294,0.199201018,0.71003443,0.833771288,0.259643853,0.348855615,0.897014558,1.467069626,2.163159847,0.307869345,,0.4068,0.629069328
Ireland,18,7.076,6.964645386,10.71657276,0.961785913,70.86531067,0.90219456,0.291833282,0.572632253,0.835201979,0.236661568,0.3458727,1.131797075,1.579027534,1.870121717,0.268516421,0.325,0.325545455,0.470194757
Luxembourg,19,7.054,6.964097023,11.40205193,0.913907707,71.46674347,0.916520953,0.044481251,0.402753204,0.815248728,0.227411717,0.743670523,1.490909815,1.840276241,1.782285094,0.255924791,0.343,0.315363636,0.348903418
Venezuela,20,7.039,7.066577435,9.780121803,0.931629658,64.19911194,0.80410856,-0.205540046,0.743374348,0.857872844,0.176307857,0.539273024,-0.967048168,-1.405262709,2.325374365,0.329066575,,0.497166667,0.293287933
Belgium,21,6.967,6.935122013,10.62246037,0.92711705,71.3420105,0.855266631,-0.059749197,0.757572532,0.820485771,0.23827681,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.275,0.285181818,0.327320159
United Kingdom,22,6.883,6.880784035,10.51577282,0.934574962,70.91662598,0.888970494,0.361319065,0.425169915,0.844452202,0.184244528,0.421262175,0.87070173,1.646371841,1.870208263,0.271801621,0.323,0.342,0.652187049
Brazil,23,6.849,6.660003662,9.623650551,0.890314102,64.35497284,0.848606348,,0.622543156,0.754624903,0.349758685,0.458935678,0.261933923,-0.035249505,2.395508289,0.359685719,0.527,0.550214286,0.51712966
France,24,6.764,6.649365425,10.5279417,0.93709743,71.97216034,0.841320336,-0.159649923,0.607905269,0.754119575,0.252988011,0.44062534,0.896523655,1.345152617,1.794548273,0.269882649,0.33,0.3203,0.328147918
Germany,25,6.672,6.702362061,10.66480923,0.926406622,70.59593964,0.904440463,0.060317129,0.67923671,0.803739309,0.169576168,0.516928196,1.084679723,1.656006575,1.830847383,0.273164511,,0.311571429,0.405439347
Qatar,26,6.666,6.611298561,11.73848248,0.838131666,67.11545563,0.924333632,0.11814566,,0.765898824,0.322181433,,0.150912732,0.939336121,2.173816442,0.328803241,,,0.556412458
Chile,27,6.587,6.599128723,9.967881203,0.855235577,68.78334808,0.733610928,0.18186979,0.782117426,0.815391183,0.287592113,0.343267798,0.704023659,1.444172263,2.12383008,0.321834922,,0.491571429,0.466741949
Argentina,28,6.562,6.468387127,9.863960266,0.901776373,66.83669281,0.747498393,-0.148022771,0.816546202,0.856516302,0.272219122,0.418255478,0.19912523,-0.572653413,2.098196507,0.32437709,0.425,0.476066667,0.317216903
Kuwait,29,6.515,6.221094608,11.25955486,0.888916671,64.8392334,0.934049547,,,0.820708573,0.095490493,,-0.219685867,0.017574765,1.61350131,0.259359717,,,0.371355087
